optimizations,threads,array_size,exec_time,std_dev
,1,10000000,421.36339888000003,87.45431817420445
--opt,1,10000000,342.60184191999997,78.88653999941886
--autoopt,1,10000000,283.75246962,88.76652540822344
--opt --autoopt,1,10000000,226.21834924,89.36744181823153
,2,10000000,328.09503722,46.96210545529766
--opt,2,10000000,323.37477468,55.606240917024515
--autoopt,2,10000000,187.28748293999993,52.764692203266144
--opt --autoopt,2,10000000,174.69660196,49.06029056475933
,3,10000000,290.82164525999997,43.93237372930517
--opt,3,10000000,288.15668373999995,40.7820333700552
--autoopt,3,10000000,169.02713019999996,41.76693892998516
--opt --autoopt,3,10000000,165.61241035999998,39.48848920601087
,4,10000000,296.44488884,44.41559633735231
--opt,4,10000000,285.5613799,43.54848374426778
--autoopt,4,10000000,174.39155965999998,41.61257316336009
--opt --autoopt,4,10000000,166.25285238000004,44.71718181819415
,5,10000000,318.3997675,45.641845249798145
--opt,5,10000000,319.9266061,60.474558489688675
--autoopt,5,10000000,197.82583319999998,45.297752174760156
--opt --autoopt,5,10000000,175.54947223999994,54.11931486148825
,8,10000000,312.34620438,56.31959012908814
--opt,8,10000000,292.44165499999997,44.85976013616787
--autoopt,8,10000000,176.01275014000004,41.64231586756808
--opt --autoopt,8,10000000,172.72234287999999,45.73269977165977
,12,10000000,298.59568906,41.65273531120334
--opt,12,10000000,286.16186322,41.39286336802556
--autoopt,12,10000000,174.26250457999998,42.166776149496265
--opt --autoopt,12,10000000,172.53943761999997,37.17446631071434
