optimizations,threads,array_size,exec_time
,1,100000,2.3186635000000955
--opt,1,100000,2.0157410000001263
--autoopt,1,100000,2.5305464999991756
--opt --autoopt,1,100000,1.8594319999998277
,2,100000,2.1521850000003617
--opt,2,100000,2.0585390000000814
--autoopt,2,100000,2.007218000000144
--opt --autoopt,2,100000,2.00013950000022
,3,100000,2.5911540000000954
--opt,3,100000,2.2484414999999203
--autoopt,3,100000,3.3020614999994535
--opt --autoopt,3,100000,2.143187999999796
,4,100000,2.5101520000001543
--opt,4,100000,2.2557139999999087
--autoopt,4,100000,2.464825000000115
--opt --autoopt,4,100000,2.0293175000003494
,5,100000,2.750571500000021
--opt,5,100000,2.2540379999997917
--autoopt,5,100000,2.8071529999995626
--opt --autoopt,5,100000,2.332918000000017
,8,100000,3.5228075000000025
--opt,8,100000,2.858051000000028
--autoopt,8,100000,2.9127345000001803
--opt --autoopt,8,100000,2.3378329999999004
,12,100000,3.9855404999999955
--opt,12,100000,2.9786860000000637
--autoopt,12,100000,4.24660500000007
--opt --autoopt,12,100000,2.772137500000049
